question_id,exam_id,type,level,question_text,option_a,option_b,option_c,option_d,correct_answer,accepted_answers,explanation,points,tags,active
Q101,ENG_UNIT_2,multiple_choice,easy,Choose the correct verb: She ___ to school every day.,go,goes,went,going,goes,"[""goes""]","In the Present Simple, 'She' takes the verb ending in -es.",2,grammar;present-simple,TRUE
Q102,ENG_UNIT_2,fill_blank,easy,Complete the sentence: My brother is ___ than me. (tall),,,,taller,"[""taller""]",The comparative form of 'tall' is 'taller'.,2,grammar;comparatives,TRUE,
Q103,ENG_UNIT_2,true_false,easy,True or False: The sun rises in the west.,,,,FALSE,"[""False"",false,""FALSE""]",The sun rises in the east.,2,general-knowledge;true-false,TRUE,
Q104,ENG_UNIT_2,vocabulary,easy,What is the meaning of the word 'teacher'?,Student,Doctor,Person who teaches,Engineer,Person who teaches,"[""Person who teaches""]",A teacher is a person who teaches students.,2,vocabulary;people,TRUE
Q105,ENG_UNIT_2,arrange_sentence,medium,Arrange the words to make a correct sentence:,,,,,We are learning English now .,"[""We are learning English now .""]",Present Continuous: Subject + be + V-ing + Object + Time.,3,grammar;syntax,TRUE
Q106,ENG_UNIT_2,matching,medium,Match the animals with their Vietnamese meanings:,cat | mèo,dog | chó,bird | chim,fish | cá,"{""cat"":""mèo"",""dog"":""chó"",""bird"":""chim"",""fish"":""cá""}","{""cat"":""mèo"",""dog"":""chó"",""bird"":""chim"",""fish"":""cá""}",Match each English word with its Vietnamese meaning.,4,vocabulary;animals,TRUE
Q107,ENG_UNIT_2,multiple_choice,medium,Choose the correct answer: They ___ soccer at the moment.,play,plays,are playing,played,are playing,"[""are playing""]",'At the moment' indicates the Present Continuous tense.,2,grammar;present-continuous,TRUE
Q108,ENG_UNIT_2,fill_blank,medium,"Complete the sentence: Yesterday, we ___ to the park. (go)",,,,went,"[""went""]",The Past Simple of 'go' is 'went'.,2,grammar;past-simple,TRUE,
Q109,ENG_UNIT_2,true_false,easy,True or False: Water boils at 100°C under normal atmospheric pressure.,,,,TRUE,"[""True"",true,""TRUE""]","Under standard atmospheric pressure, water boils at 100°C.",2,science;true-false,TRUE,
Q110,ENG_UNIT_2,multiple_choice,hard,Choose the correct sentence.,She don't like coffee.,She doesn't likes coffee.,She doesn't like coffee.,She not like coffee.,She doesn't like coffee.,"[""She doesn't like coffee.""]","After 'doesn't', the verb remains in its base form.",3,grammar;present-simple,TRUE
